analysis_level,category_name,num_categories,order_month,year_month,total_orders,completed_orders,cancelled_orders,cancellation_rate,total_items_sold,total_revenue,avg_order_value,total_discount,unique_customers,paying_customers,revenue_rank,orders_rank,revenue_share_pct,orders_share_pct,revenue_quartile,monthly_orders,monthly_revenue,mom_growth_pct,first_order_date,last_order_date
category_monthly_trend,Other,,2023-12-01,2023-12,,,,,,,,,,,,,,,,9,332748,,,
category_monthly_trend,Nampan / Tray,,2023-12-01,2023-12,,,,,,,,,,,,,,,,8,744646,,,
category_monthly_trend,Peralatan Makan,,2023-12-01,2023-12,,,,,,,,,,,,,,,,4,129437,,,
category_monthly_trend,Mangkok Sambal / Saus,,2023-12-01,2023-12,,,,,,,,,,,,,,,,89,3742061,,,
category_monthly_trend,Stempel / Alat Kantor,,2023-12-01,2023-12,,,,,,,,,,,,,,,,2,263960,,,
category_monthly_trend,Plastik / Wadah Plastik,,2023-12-01,2023-12,,,,,,,,,,,,,,,,11,618165,,,
category_monthly_trend,Celengan,,2023-12-01,2023-12,,,,,,,,,,,,,,,,172,4682922,,,
category_monthly_trend,Toples / Sealware,,2023-12-01,2023-12,,,,,,,,,,,,,,,,6,345720,,,
category_monthly_trend,Seal / Baut / Roof,,2023-12-01,2023-12,,,,,,,,,,,,,,,,20,6490193,,,
category_monthly_trend,Lunch Box / Rantang,,2023-12-01,2023-12,,,,,,,,,,,,,,,,7,628744,,,
category_monthly_trend,Rak / Rak Serbaguna,,2023-12-01,2023-12,,,,,,,,,,,,,,,,24,1554718,,,
category_monthly_trend,Keranjang,,2023-12-01,2023-12,,,,,,,,,,,,,,,,10,598917,,,
category_monthly_trend,Tempat Nasi,,2023-12-01,2023-12,,,,,,,,,,,,,,,,1,13458,,,
category_monthly_trend,Teko / Jug,,2023-12-01,2023-12,,,,,,,,,,,,,,,,3,48840,,,
category_monthly_trend,Saringan / Strainer,,2023-12-01,2023-12,,,,,,,,,,,,,,,,1,84830,,,
category_monthly_trend,Baskom / Mangkok Besar,,2023-12-01,2023-12,,,,,,,,,,,,,,,,1,0,,,
category_monthly_trend,Rak / Rak Serbaguna,,2024-01-01,2024-01,,,,,,,,,,,,,,,,28,1449460,-6.77,,
category_monthly_trend,Seal / Baut / Roof,,2024-01-01,2024-01,,,,,,,,,,,,,,,,18,4081473,-37.11,,
category_monthly_trend,Saringan / Strainer,,2024-01-01,2024-01,,,,,,,,,,,,,,,,2,167110,96.99,,
category_monthly_trend,Toples / Sealware,,2024-01-01,2024-01,,,,,,,,,,,,,,,,5,154500,-55.31,,
category_monthly_trend,Lunch Box / Rantang,,2024-01-01,2024-01,,,,,,,,,,,,,,,,10,2051873,226.34,,
category_monthly_trend,Plastik / Wadah Plastik,,2024-01-01,2024-01,,,,,,,,,,,,,,,,15,662464,7.17,,
category_monthly_trend,Peralatan Makan,,2024-01-01,2024-01,,,,,,,,,,,,,,,,1,25960,-79.94,,
category_monthly_trend,Celengan,,2024-01-01,2024-01,,,,,,,,,,,,,,,,165,5004318,6.86,,
category_monthly_trend,Mangkok Sambal / Saus,,2024-01-01,2024-01,,,,,,,,,,,,,,,,99,4553508,21.68,,
category_monthly_trend,Tempat Nasi,,2024-01-01,2024-01,,,,,,,,,,,,,,,,1,21000,56.04,,
category_monthly_trend,Other,,2024-01-01,2024-01,,,,,,,,,,,,,,,,6,602329,81.02,,
category_monthly_trend,Nampan / Tray,,2024-01-01,2024-01,,,,,,,,,,,,,,,,10,1900082,155.17,,
category_monthly_trend,Keranjang,,2024-01-01,2024-01,,,,,,,,,,,,,,,,13,399923,-33.23,,
category_monthly_trend,Saringan / Strainer,,2024-02-01,2024-02,,,,,,,,,,,,,,,,5,463528,177.38,,
category_monthly_trend,Peralatan Makan,,2024-02-01,2024-02,,,,,,,,,,,,,,,,1,120150,362.83,,
category_monthly_trend,Rak / Rak Serbaguna,,2024-02-01,2024-02,,,,,,,,,,,,,,,,28,2088270,44.07,,
category_monthly_trend,Seal / Baut / Roof,,2024-02-01,2024-02,,,,,,,,,,,,,,,,8,3624460,-11.20,,
category_monthly_trend,Baskom / Mangkok Besar,,2024-02-01,2024-02,,,,,,,,,,,,,,,,3,82210,,,
category_monthly_trend,Piring,,2024-02-01,2024-02,,,,,,,,,,,,,,,,1,57160,,,
category_monthly_trend,Toples / Sealware,,2024-02-01,2024-02,,,,,,,,,,,,,,,,7,350780,127.04,,
category_monthly_trend,Perlengkapan Packing,,2024-02-01,2024-02,,,,,,,,,,,,,,,,1,77000,,,
category_monthly_trend,Plastik / Wadah Plastik,,2024-02-01,2024-02,,,,,,,,,,,,,,,,19,366820,-44.63,,
category_monthly_trend,Mangkok Sambal / Saus,,2024-02-01,2024-02,,,,,,,,,,,,,,,,71,3313499,-27.23,,
category_monthly_trend,Lunch Box / Rantang,,2024-02-01,2024-02,,,,,,,,,,,,,,,,3,75320,-96.33,,
category_monthly_trend,Celengan,,2024-02-01,2024-02,,,,,,,,,,,,,,,,165,5137953,2.67,,
category_monthly_trend,Nampan / Tray,,2024-02-01,2024-02,,,,,,,,,,,,,,,,3,943882,-50.32,,
category_monthly_trend,Keranjang,,2024-02-01,2024-02,,,,,,,,,,,,,,,,13,859098,114.82,,
category_monthly_trend,Other,,2024-02-01,2024-02,,,,,,,,,,,,,,,,10,682597,13.33,,
category_monthly_trend,Plastik / Wadah Plastik,,2024-03-01,2024-03,,,,,,,,,,,,,,,,8,546530,48.99,,
category_monthly_trend,Mangkok Sambal / Saus,,2024-03-01,2024-03,,,,,,,,,,,,,,,,91,4624442,39.56,,
category_monthly_trend,Tempat Nasi,,2024-03-01,2024-03,,,,,,,,,,,,,,,,1,17120,-18.48,,
category_monthly_trend,Teko / Jug,,2024-03-01,2024-03,,,,,,,,,,,,,,,,3,99000,102.70,,
category_monthly_trend,Toples / Sealware,,2024-03-01,2024-03,,,,,,,,,,,,,,,,19,1145095,226.44,,
category_monthly_trend,Stempel / Alat Kantor,,2024-03-01,2024-03,,,,,,,,,,,,,,,,1,57992,-78.03,,
category_monthly_trend,Other,,2024-03-01,2024-03,,,,,,,,,,,,,,,,10,1780206,160.80,,
category_monthly_trend,Celengan,,2024-03-01,2024-03,,,,,,,,,,,,,,,,180,5220172,1.60,,
category_monthly_trend,Seal / Baut / Roof,,2024-03-01,2024-03,,,,,,,,,,,,,,,,11,4951538,36.61,,
category_monthly_trend,Nampan / Tray,,2024-03-01,2024-03,,,,,,,,,,,,,,,,21,3842141,307.06,,
category_monthly_trend,Rak / Rak Serbaguna,,2024-03-01,2024-03,,,,,,,,,,,,,,,,19,1245888,-40.34,,
category_monthly_trend,Keranjang,,2024-03-01,2024-03,,,,,,,,,,,,,,,,17,1111270,29.35,,
category_monthly_trend,Saringan / Strainer,,2024-03-01,2024-03,,,,,,,,,,,,,,,,2,207790,-55.17,,
category_monthly_trend,Lunch Box / Rantang,,2024-03-01,2024-03,,,,,,,,,,,,,,,,12,1610112,2037.70,,
category_monthly_trend,Baskom / Mangkok Besar,,2024-03-01,2024-03,,,,,,,,,,,,,,,,2,26000,-68.37,,
category_monthly_trend,Tempat Nasi,,2024-04-01,2024-04,,,,,,,,,,,,,,,,3,45280,164.49,,
category_monthly_trend,Teko / Jug,,2024-04-01,2024-04,,,,,,,,,,,,,,,,1,13459,-86.41,,
category_monthly_trend,Celengan,,2024-04-01,2024-04,,,,,,,,,,,,,,,,270,7926625,51.85,,
category_monthly_trend,Plastik / Wadah Plastik,,2024-04-01,2024-04,,,,,,,,,,,,,,,,4,175540,-67.88,,
category_monthly_trend,Keranjang,,2024-04-01,2024-04,,,,,,,,,,,,,,,,8,259092,-76.69,,
category_monthly_trend,Lunch Box / Rantang,,2024-04-01,2024-04,,,,,,,,,,,,,,,,12,506071,-68.57,,
category_monthly_trend,Mangkok Sambal / Saus,,2024-04-01,2024-04,,,,,,,,,,,,,,,,78,3923929,-15.15,,
category_monthly_trend,Nampan / Tray,,2024-04-01,2024-04,,,,,,,,,,,,,,,,15,1872378,-51.27,,
category_monthly_trend,Rak / Rak Serbaguna,,2024-04-01,2024-04,,,,,,,,,,,,,,,,26,1063048,-14.68,,
category_monthly_trend,Seal / Baut / Roof,,2024-04-01,2024-04,,,,,,,,,,,,,,,,1,177000,-96.43,,
category_monthly_trend,Other,,2024-04-01,2024-04,,,,,,,,,,,,,,,,14,900551,-49.41,,
category_monthly_trend,Stempel / Alat Kantor,,2024-04-01,2024-04,,,,,,,,,,,,,,,,5,390300,573.02,,
category_monthly_trend,Peralatan Makan,,2024-04-01,2024-04,,,,,,,,,,,,,,,,3,105940,-11.83,,
category_monthly_trend,Toples / Sealware,,2024-04-01,2024-04,,,,,,,,,,,,,,,,3,122765,-89.28,,
category_monthly_trend,Perlengkapan Packing,,2024-04-01,2024-04,,,,,,,,,,,,,,,,3,1313000,1605.19,,
category_monthly_trend,Piring,,2024-04-01,2024-04,,,,,,,,,,,,,,,,3,155015,171.19,,
category_monthly_trend,Other,,2024-05-01,2024-05,,,,,,,,,,,,,,,,9,504925,-43.93,,
category_monthly_trend,Celengan,,2024-05-01,2024-05,,,,,,,,,,,,,,,,293,9340089,17.83,,
category_monthly_trend,Saringan / Strainer,,2024-05-01,2024-05,,,,,,,,,,,,,,,,5,303280,45.96,,
category_monthly_trend,Seal / Baut / Roof,,2024-05-01,2024-05,,,,,,,,,,,,,,,,27,11233222,6246.45,,
category_monthly_trend,Teko / Jug,,2024-05-01,2024-05,,,,,,,,,,,,,,,,2,16600,23.34,,
category_monthly_trend,Lunch Box / Rantang,,2024-05-01,2024-05,,,,,,,,,,,,,,,,24,1743736,244.56,,
category_monthly_trend,Perlengkapan Packing,,2024-05-01,2024-05,,,,,,,,,,,,,,,,4,593182,-54.82,,
category_monthly_trend,Baskom / Mangkok Besar,,2024-05-01,2024-05,,,,,,,,,,,,,,,,2,31120,19.69,,
category_monthly_trend,Aksesoris Pintu,,2024-05-01,2024-05,,,,,,,,,,,,,,,,1,15040,,,
category_monthly_trend,Tempat Nasi,,2024-05-01,2024-05,,,,,,,,,,,,,,,,4,100020,120.89,,
category_monthly_trend,Keranjang,,2024-05-01,2024-05,,,,,,,,,,,,,,,,10,472924,82.53,,
category_monthly_trend,Plastik / Wadah Plastik,,2024-05-01,2024-05,,,,,,,,,,,,,,,,2,78960,-55.02,,
category_monthly_trend,Peralatan Makan,,2024-05-01,2024-05,,,,,,,,,,,,,,,,3,57160,-46.04,,
category_monthly_trend,Nampan / Tray,,2024-05-01,2024-05,,,,,,,,,,,,,,,,12,741568,-60.39,,
category_monthly_trend,Mangkok Sambal / Saus,,2024-05-01,2024-05,,,,,,,,,,,,,,,,108,4136121,5.41,,
category_monthly_trend,Rak / Rak Serbaguna,,2024-05-01,2024-05,,,,,,,,,,,,,,,,49,2143790,101.66,,
category_monthly_trend,Toples / Sealware,,2024-06-01,2024-06,,,,,,,,,,,,,,,,3,214440,74.68,,
category_monthly_trend,Lunch Box / Rantang,,2024-06-01,2024-06,,,,,,,,,,,,,,,,44,4028256,131.01,,
category_monthly_trend,Keranjang,,2024-06-01,2024-06,,,,,,,,,,,,,,,,3,28296,-94.02,,
category_monthly_trend,Nampan / Tray,,2024-06-01,2024-06,,,,,,,,,,,,,,,,13,2535739,241.94,,
category_monthly_trend,Teko / Jug,,2024-06-01,2024-06,,,,,,,,,,,,,,,,8,200622,1108.57,,
category_monthly_trend,Celengan,,2024-06-01,2024-06,,,,,,,,,,,,,,,,274,6267305,-32.90,,
category_monthly_trend,Plastik / Wadah Plastik,,2024-06-01,2024-06,,,,,,,,,,,,,,,,5,221982,181.13,,
category_monthly_trend,Other,,2024-06-01,2024-06,,,,,,,,,,,,,,,,11,592000,17.25,,
category_monthly_trend,Seal / Baut / Roof,,2024-06-01,2024-06,,,,,,,,,,,,,,,,19,6752053,-39.89,,
category_monthly_trend,Rak / Rak Serbaguna,,2024-06-01,2024-06,,,,,,,,,,,,,,,,32,1616672,-24.59,,
category_monthly_trend,Peralatan Makan,,2024-06-01,2024-06,,,,,,,,,,,,,,,,1,9320,-83.69,,
category_monthly_trend,Aksesoris Pintu,,2024-06-01,2024-06,,,,,,,,,,,,,,,,59,772260,5034.71,,
category_monthly_trend,Piring,,2024-06-01,2024-06,,,,,,,,,,,,,,,,1,50920,-67.15,,
category_monthly_trend,Baskom / Mangkok Besar,,2024-06-01,2024-06,,,,,,,,,,,,,,,,4,84880,172.75,,
category_monthly_trend,Tempat Nasi,,2024-06-01,2024-06,,,,,,,,,,,,,,,,22,577652,477.54,,
category_monthly_trend,Perlengkapan Packing,,2024-06-01,2024-06,,,,,,,,,,,,,,,,3,334734,-43.57,,
category_monthly_trend,Saringan / Strainer,,2024-06-01,2024-06,,,,,,,,,,,,,,,,2,2618,-99.14,,
category_monthly_trend,Mangkok Sambal / Saus,,2024-06-01,2024-06,,,,,,,,,,,,,,,,129,4920834,18.97,,
category_monthly_trend,Teko / Jug,,2024-07-01,2024-07,,,,,,,,,,,,,,,,47,2488185,1140.24,,
category_monthly_trend,Rak / Rak Serbaguna,,2024-07-01,2024-07,,,,,,,,,,,,,,,,49,3206820,98.36,,
category_monthly_trend,Stempel / Alat Kantor,,2024-07-01,2024-07,,,,,,,,,,,,,,,,3,270260,-30.76,,
category_monthly_trend,Aksesoris Pintu,,2024-07-01,2024-07,,,,,,,,,,,,,,,,155,1575867,104.06,,
category_monthly_trend,Tempat Nasi,,2024-07-01,2024-07,,,,,,,,,,,,,,,,39,1619788,180.41,,
category_monthly_trend,Mangkok Sambal / Saus,,2024-07-01,2024-07,,,,,,,,,,,,,,,,196,7881300,60.16,,
category_monthly_trend,Keranjang,,2024-07-01,2024-07,,,,,,,,,,,,,,,,16,977412,3354.24,,
category_monthly_trend,Toples / Sealware,,2024-07-01,2024-07,,,,,,,,,,,,,,,,3,87720,-59.09,,
category_monthly_trend,Baskom / Mangkok Besar,,2024-07-01,2024-07,,,,,,,,,,,,,,,,15,727551,757.15,,
category_monthly_trend,Nampan / Tray,,2024-07-01,2024-07,,,,,,,,,,,,,,,,23,2081678,-17.91,,
category_monthly_trend,Piring,,2024-07-01,2024-07,,,,,,,,,,,,,,,,2,10320,-79.73,,
category_monthly_trend,Perlengkapan Packing,,2024-07-01,2024-07,,,,,,,,,,,,,,,,8,1878554,461.21,,
category_monthly_trend,Celengan,,2024-07-01,2024-07,,,,,,,,,,,,,,,,404,11867966,89.36,,
category_monthly_trend,Lunch Box / Rantang,,2024-07-01,2024-07,,,,,,,,,,,,,,,,52,6457581,60.31,,
category_monthly_trend,Pengolah Bumbu / Sayur,,2024-07-01,2024-07,,,,,,,,,,,,,,,,20,776225,,,
category_monthly_trend,Seal / Baut / Roof,,2024-07-01,2024-07,,,,,,,,,,,,,,,,9,9451950,39.99,,
category_monthly_trend,Other,,2024-07-01,2024-07,,,,,,,,,,,,,,,,26,2489067,320.45,,
category_monthly_trend,Saringan / Strainer,,2024-07-01,2024-07,,,,,,,,,,,,,,,,17,318324,12059.05,,
category_monthly_trend,Peralatan Makan,,2024-07-01,2024-07,,,,,,,,,,,,,,,,7,284976,2957.68,,
category_monthly_trend,Plastik / Wadah Plastik,,2024-07-01,2024-07,,,,,,,,,,,,,,,,3,313284,41.13,,
category_monthly_trend,Perlengkapan Packing,,2024-08-01,2024-08,,,,,,,,,,,,,,,,9,1497320,-20.29,,
category_monthly_trend,Seal / Baut / Roof,,2024-08-01,2024-08,,,,,,,,,,,,,,,,27,12379565,30.97,,
category_monthly_trend,Pengolah Bumbu / Sayur,,2024-08-01,2024-08,,,,,,,,,,,,,,,,44,647781,-16.55,,
category_monthly_trend,Rak / Rak Serbaguna,,2024-08-01,2024-08,,,,,,,,,,,,,,,,28,1564286,-51.22,,
