order_month,year_month,order_year,order_month_num,total_orders,completed_orders,cancelled_orders,total_revenue,avg_order_value,total_items_sold,unique_customers,paying_customers
2023-12-01,2023-12,2023,12,444,352,92,23850125,67756,841,104,93
2024-01-01,2024-01,2024,1,431,367,64,24492481,66737,1069,107,94
2024-02-01,2024-02,2024,2,389,327,62,21141376,64653,835,107,96
2024-03-01,2024-03,2024,3,453,389,64,30259734,77789,1658,101,94
2024-04-01,2024-04,2024,4,492,403,89,21260662,52756,1099,107,89
2024-05-01,2024-05,2024,5,620,525,95,35530574,67677,1124,126,106
2024-06-01,2024-06,2024,6,697,608,89,32465925,53398,1469,142,128
2024-07-01,2024-07,2024,7,1270,1114,156,63791545,57264,2745,204,183
2024-08-01,2024-08,2024,8,1293,1097,196,65939126,60109,2784,209,185
2024-09-01,2024-09,2024,9,1123,967,156,71193097,73623,2497,202,187
2024-10-01,2024-10,2024,10,1217,1058,159,68444255,64692,2571,223,203
2024-11-01,2024-11,2024,11,1037,892,145,54907940,61556,2187,208,189
2025-01-01,2025-01,2025,1,1150,1005,145,53240632,52976,2290,211,191
2025-02-01,2025-02,2025,2,957,835,122,53088026,63578,2256,193,175
2025-03-01,2025-03,2025,3,628,516,112,43689770,84670,2261,152,145
2025-04-01,2025-04,2025,4,824,678,146,35077659,51737,1604,187,169
2025-05-01,2025-05,2025,5,819,649,170,29139406,44899,1303,185,165
2025-06-01,2025-06,2025,6,615,520,95,30576496,58801,1239,155,134
2025-08-01,2025-08,2025,8,942,855,87,46950416,54913,1896,205,199
2025-09-01,2025-09,2025,9,1131,1016,115,47056602,46316,2251,236,224
2025-10-01,2025-10,2025,10,1205,1092,113,61464654,56286,2249,255,249
2025-11-01,2025-11,2025,11,1131,780,101,34287414,43958,1762,269,213
